"Unique identification number of the institution","Level of student","Level of student (original line number on survey form)","Attendance status of student","Level of student","Nonresident alien men","Nonresident alien women","OLD - Black non-Hispanic men","OLD - Black non-Hispanic women","OLD - American Indian or Alaska Native men","OLD - American Indian or Alaska Native women","OLD - Asian or Pacific Islander men","OLD - Asian or Pacific Islander women","OLD - Hispanic men","OLD - Hispanic women","OLD - White non-Hispanic men","OLD - White non-Hispanic women","Race/ethnicity unknown men","Race/ethnicity unknown women","Grand total men","Grand total women","Nonresident alien total","OLD - Black non-Hispanic total","OLD - American Indian or Alaska Native total","OLD - Asian or Pacific Islander total","OLD - Hispanic total","OLD - White non-Hispanic total","Race/ethnicity unknown total","Grand total","Hispanic men","Hispanic women","American Indian or Alaska Native men","American Indian or Alaska Native women","Asian men","Asian women","Black or African American men","Black or African American women","Native Hawaiian or Other Pacific Islander men","Native Hawaiian or Other Pacific Islander women","White men","White women","Two or more races men","Two or more races women","Hispanic total","American Indian or Alaska Native total","Asian total","Black or African American total","Native Hawaiian or Other Pacific Islander total","White total","Two or more races total","DERIVED - American Indian or Alaska Native total","DERIVED - American Indian or Alaska Native men","DERIVED - American Indian or Alaska Native women","DERIVED - Asian/Native Hawaiian/Other Pacific Islander total","DERIVED - Asian/Native Hawaiian/Other Pacific Islander men","DERIVED - Asian/Native Hawaiian/Other Pacific Islander women","DERIVED - Black or African American/Black non-Hispanic total","DERIVED - Black or African American/Black non-Hispanic men","DERIVED - Black or African American/Black non-Hispanic women","DERIVED - Hispanic or Latino/Hispanic total","DERIVED - Hispanic or Latino/Hispanic men","DERIVED - Hispanic or Latino/Hispanic women","DERIVED - White/White non-Hispanic total","DERIVED - White/White non-Hispanic men","DERIVED - White/White non-Hispanic women","FY","Fall","Institution_Name","EFALevel_desc","Line_desc","Section_desc","LStudy_desc"
"131496","32","11","1","3"," 466"," 417"," 44","  94","  0","  4"," 155"," 150"," 48"," 64"," 871"," 820"," 199"," 143"," 1783"," 1692"," 883"," 138","  4"," 305"," 112"," 1691"," 342"," 3475",,,,,,,,,,,,,,,,,,,,,,"  4","  0","  4"," 305"," 155"," 150"," 138"," 44","  94"," 112"," 48"," 64"," 1691"," 871"," 820","2009","2008","Georgetown University","Full-time students, Graduate","Full-time graduates","Full-time","Graduate"
"131496","36","9","1","2","  58","  49"," 76"," 167","  6","  2"," 157"," 168"," 65"," 60","1015"," 721"," 126"," 121"," 1503"," 1288"," 107"," 243","  8"," 325"," 125"," 1736"," 247"," 2791",,,,,,,,,,,,,,,,,,,,,,"  8","  6","  2"," 325"," 157"," 168"," 243"," 76"," 167"," 125"," 65"," 60"," 1736","1015"," 721","2009","2008","Georgetown University","Full-time students, First professional","Full-time first-professional","Full-time","First-professional"
"131496","39","2","1","1","   5","   7","  4","  11","  0","  0","  12","  13","  7","  9","  50"," 106","   2","   7","   80","  153","  12","  15","  0","  25","  16","  156","   9","  233",,,,,,,,,,,,,,,,,,,,,,"  0","  0","  0","  25","  12","  13","  15","  4","  11","  16","  7","  9","  156","  50"," 106","2009","2008","Georgetown University","Full-time students, Undergraduate, Other degree/certifcate-seeking, Transfer-ins","Full-time undergraduate, other degree/certifcate-seeking, transfer-ins","Full-time","Undergraduate"
"131496","40","3","1","1"," 140"," 180","142"," 181","  0","  3"," 172"," 261","143","179","1548","1664","  79","  91"," 2224"," 2559"," 320"," 323","  3"," 433"," 322"," 3212"," 170"," 4783",,,,,,,,,,,,,,,,,,,,,,"  3","  0","  3"," 433"," 172"," 261"," 323","142"," 181"," 322","143","179"," 3212","1548","1664","2009","2008","Georgetown University","Full-time students, Undergraduate, Other degree/certifcate-seeking, Continuing","Full-time  undergraduate, other degree/certifcate-seeking, continuing","Full-time","Undergraduate"
"131496","41","28","2","4","  94","  84"," 57"," 116","  3","  0","  71","  84"," 49"," 45"," 616"," 604"," 206"," 217"," 1096"," 1150"," 178"," 173","  3"," 155","  94"," 1220"," 423"," 2246",,,,,,,,,,,,,,,,,,,,,,"  3","  3","  0"," 155","  71","  84"," 173"," 57"," 116","  94"," 49"," 45"," 1220"," 616"," 604","2009","2008","Georgetown University","Part-time students total","Total part-time","Part-time","All students"
"131496","42","22","2","1","   0","   6"," 10","  21","  2","  0","   7","   9","  9","  7","  55","  60","  35","  65","  118","  168","   6","  31","  2","  16","  16","  115"," 100","  286",,,,,,,,,,,,,,,,,,,,,,"  2","  2","  0","  16","   7","   9","  31"," 10","  21","  16","  9","  7","  115","  55","  60","2009","2008","Georgetown University","Part-time students, Undergraduate total","Total part-time undergraduates","Part-time","Undergraduate"
"131496","43","20","2","1","   0","   5","  9","  18","  2","  0","   5","   9","  8","  6","  45","  55","  12","  31","   81","  124","   5","  27","  2","  14","  14","  100","  43","  205",,,,,,,,,,,,,,,,,,,,,,"  2","  2","  0","  14","   5","   9","  27","  9","  18","  14","  8","  6","  100","  45","  55","2009","2008","Georgetown University","Part-time students, Undergraduate, Degree/certificate-seeking total","Part-time degree-seeking undergraduates, total","Part-time","Undergraduate"
"131496","45","99","2","1","   0","   5","  9","  18","  2","  0","   5","   9","  8","  6","  45","  55","  12","  31","   81","  124","   5","  27","  2","  14","  14","  100","  43","  205",,,,,,,,,,,,,,,,,,,,,,"  2","  2","  0","  14","   5","   9","  27","  9","  18","  14","  8","  6","  100","  45","  55","2009","2008","Georgetown University","Part-time students, Undergraduate, Degree/certificate-seeking, Other degree/certificate-seeking","Generated record not on original survey","Part-time","Undergraduate"
"131496","51","21","2","1","   0","   1","  1","   3","  0","  0","   2","   0","  1","  1","  10","   5","  23","  34","   37","   44","   1","   4","  0","   2","   2","   15","  57","   81",,,,,,,,,,,,,,,,,,,,,,"  0","  0","  0","   2","   2","   0","   4","  1","   3","   2","  1","  1","   15","  10","   5","2009","2008","Georgetown University","Part-time students, Undergraduate, Non-degree/certificate-seeking","Part-time nondegree-seeking undergraduates","Part-time","Undergraduate"
"131496","52","25","2","3","  90","  75"," 42","  93","  1","  0","  61","  72"," 37"," 36"," 519"," 519"," 164"," 146","  914","  941"," 165"," 135","  1"," 133","  73"," 1038"," 310"," 1855",,,,,,,,,,,,,,,,,,,,,,"  1","  1","  0"," 133","  61","  72"," 135"," 42","  93","  73"," 37"," 36"," 1038"," 519"," 519","2009","2008","Georgetown University","Part-time students, Graduate","Part-time graduates","Part-time","Graduate"
"131496","56","23","2","2","   4","   3","  5","   2","  0","  0","   3","   3","  3","  2","  42","  25","   7","   6","   64","   41","   7","   7","  0","   6","   5","   67","  13","  105",,,,,,,,,,,,,,,,,,,,,,"  0","  0","  0","   6","   3","   3","   7","  5","   2","   5","  3","  2","   67","  42","  25","2009","2008","Georgetown University","Part-time students, First professional","Part-time first-professional","Part-time","First-professional"
"131496","59","16","2","1","   0","   0","  0","   0","  0","  0","   0","   0","  0","  0","   1","   1","   0","   0","    1","    1","   0","   0","  0","   0","   0","    2","   0","    2",,,,,,,,,,,,,,,,,,,,,,"  0","  0","  0","   0","   0","   0","   0","  0","   0","   0","  0","  0","    2","   1","   1","2009","2008","Georgetown University","Part-time students, Undergraduate, Other degree/certifcate-seeking, Transfer-ins","Part-time undergraduate, other degree/certifcate-seeking, transfer-ins","Part-time","Undergraduate"
"131496","60","17","2","1","   0","   5","  9","  18","  2","  0","   5","   9","  8","  6","  44","  54","  12","  31","   80","  123","   5","  27","  2","  14","  14","   98","  43","  203",,,,,,,,,,,,,,,,,,,,,,"  2","  2","  0","  14","   5","   9","  27","  9","  18","  14","  8","  6","   98","  44","  54","2009","2008","Georgetown University","Part-time students, Undergraduate, Other degree/certifcate-seeking, Continuing","Part-time undergraduate, other degree/certifcate-seeking, continuing","Part-time","Undergraduate"
"147767","1","29","3","4","1562","1013","316"," 588"," 16"," 11","1264","1254","395","506","4770","4760","1534","1302"," 9857"," 9434","2575"," 904"," 27","2518"," 901"," 9530","2836","19291",,,,,,,,,,,,,,,,,,,,,," 27"," 16"," 11","2518","1264","1254"," 904","316"," 588"," 901","395","506"," 9530","4770","4760","2009","2008","Northwestern University","All students total","Total enrollment","All students","All students"
